place,reviews
Mukteshwar Temple,"We were at Mukteshwar in the first half of the day on a bright sunny day. The day was peaceful, but I presume it may get crowded during holidays. There is a temple atop the hill reachable by climbing about 200 steps from where the car will drop you. Once at the top, the views…"
High Altitude Zoo,"It's on hight, not easy for senior citizen.Ticket counter on entrance I have seen two cheetah together after long, well maintain...well safety."
High Altitude Zoo,We visited Nainital in Feb 2020 and it was a memorable experience. As the name says the zoo is very high up in Nainital but worth a visit especially if you have young kids with you. Your private car/taxi isn't allowed to take you upto the zoo so there is a shuttle which is…
High Altitude Zoo,"The high altitude zoo is a nice place located up above hills. It's not ideal for senior citizens or those who have mobility issues. You need good amount of energy and the animal enclosures are located uphills(many!) One can see Bengal tigers,leopards,bears, red…"
High Altitude Zoo,Location: - Entrance situated at the end of Mall road (Main high street of Nainital City) Commute: - One can walk uphill of 2 kms for main entrance - One can hire an auto running exclusively on the Zoo route (Inexpensive) Zoo: - Surprisingly I found it to be at par of any mini…
High Altitude Zoo,"It is a small Zoo, but well kept.. Need about 2 /3 hrs to enjoy the place at leisure .. Remeber, being on a hill top, the roads are all steep. So, to visit exhibits, you need to either climb up/ down a steep slope almost all the time. So some level of physical fitness is needed.…"
High Altitude Zoo,There is a shuttle service from Mall Road to reach the High Altitude Zoo during the operational hours of the Zoo. It can be visited as it is one of the unique Zoo that I have been to.
High Altitude Zoo,Visited with the family. Exciting place for the kids. Though situated at the height and one needs to climb. It's a big zoo with lots of animals and very clean also.
High Altitude Zoo,"High altitude zoo, as the name suggests, is situated atop a hillock offering sweeping views of the nainital lake. It houses various species of high altitude deer, bear and big cats along with a variety of pheasants and other birds. Shuttle service is provided by zoo authorities…"
High Altitude Zoo,T he area of zoo is little smaller than plainland zoo but it is very compact well maintained area . The exhibits of the zoo are mostly high altitude creatures . My son and niece had enjoyed spending couple of hours here .
High Altitude Zoo,Zoo was clean and well managed the weak point was the whole zoo was in the slope there is no facility to visit the zoo
High Altitude Zoo,We visited this zoo after a lot of research on “things to do “ in Nainital. We decided to go for a morning visit and accordingly landed at around 10:30 am. Nowadays a new kind of shuttle service has been introduced by the authorities which ferry people from the mall road to…
High Altitude Zoo,Very near and clean. Though located at a height. Lots of animals and birds are there. Interesting place for kids to visit. They will enjoy.
High Altitude Zoo,as you enter nainital you will see lots of boards for promoting nainital zoo.but i found this zoo below expectation.situated at mountains nears to jungles but this zoo lacks good species of animals.and charge is also bit high 60 rs pp for taxi for pick/drop to zoo and then 100…
High Altitude Zoo,You need a lot of energy to experience it! Zoo timings for entry are 10:00 AM to 4:30 PM after 4:30 pm you are not allowed to buy tickets. Ticket price is Rs.100/adult. As the name suggests the place located on hills. Private vehicles are not allowed to enter on the zoo road.…
High Altitude Zoo,The Zoo is a must visit place when in Nainital. It's advisable to use the zoo shuttle service while visiting as parking is a huge hassle if you take your own vehicle. Would not recommend it to senior citizens as there is a lot of uphill walking involved while visiting this…
High Altitude Zoo,"The zoo in itself is very nice ,with mountain tigers and goats .But as it's on a hill, it's very tiring. Tha area is big and one needs to walk a lot within the zoo compound"
High Altitude Zoo,"Plenty of animals such as red panda, leopard, tigers, lion, some species of birds make this place a must visit in nainital. Carry water bottles and be prepared to climb up and down and walk a lot to cover this zoo as it has most of the cages or animal enclisures at height and…"
High Altitude Zoo,The zoo is definitely worth a visit when you are in Nainital. The tiger was really healthy. You can see animals in very close proximity. This is a well maintained zoo.
High Altitude Zoo,"The location is on top of the hill that gives a good view of the Nainital lake and city. The access is through the shuttles that you get on mall road. You can't take your own vehicle. Once there, too much of climbing / trekking even for a fit person. Not recommend for old…"
High Altitude Zoo,One of the best zoo I have ever visited.. animals in very close proximity. Bird show is also worth the visit
High Altitude Zoo,"Nainital Zoo is the famous destination for wildlife lovers in Nainital & one of the well-maintained Zoos in Uttarakhand. The famous Zoo is situated in the hills which are known as Shar- Ka-Danda & just 1 Km far from Tallital Bus Stand, also known as Govind Ballabh Pant Zoo. The…"
High Altitude Zoo,"The star attractions in the zoo are the Tiger, Himalyan Black Bear, the tibetan wolf and the leopards, the red pandas, and the variety of deer ( multiple species) as well as birts (quite a large collection for a small zoo). This location is managed by the forest department …"
High Altitude Zoo,"To get to the Zoo and off it, there is a Zoo shuttle not sure how many but I think 3 or 4 you need to get a ticket for the shuttle first then when the shuttle will come you can sit on any seat and it will take you up to only a point after that it is a not very long steep uphill…"
High Altitude Zoo,This zoo is best example for the high altitude zoo.We need to climb &walk a lot to see the animals in this zoo.Zoo authority run the vehicles from nainital lake to zoo by charging 10 rs.Zoo is maintained very well and we can see animals and birds
High Altitude Zoo,This zoo is on steep hill above the town. There are shuttles run by zoo to reach up the hill. But still you need walk (Climb the slope) for 1o-15 minutes to reach entrance. Inside zoo also you need walk on steep slopes. So be prepared for that take care if any aged person (…
Eco Cave Gardens,The cave garden is an obstacle course inside different caves. Kids and young people can do it. Not sure how much they would enjoy it. This is a no for elderly people and people with small kids. The views are not great from the view points. The ticket is just Rs.60 but a wastage…
Eco Cave Gardens,The Eco cave garden is a fun place to explore the different types of caves. I could scale 4 caves on my own here and be careful to not slip.
Eco Cave Gardens,Caves where really adventurous safe and enjoyable really suggest first to visit this cave thank you ....
Eco Cave Gardens,"Small garden with six caves. Pissed with children aged 5-14 interesting to walk through and sometimes almost crawling (bat cave is very narrow and low). The last cave was a dead end. There is a cafeteria. Entrance fee is not too high for 1 to 2 hours of fun, and for…"
Eco Cave Gardens,"Located Near High Court Compound, the place is good for short visit. The entry to the park is paid. The place opens at 10:00 AM and closed at 4:30 pm. There are so many caves inside some are scary too. Avoid going on Rainy day. You can reach there via taxi, private car etc.…"
Eco Cave Gardens,"Really awesome place for short adventure,there are around 4 or 5 caves and you can check your fitness level by doing all the caves,kids will enjoy but be careful if anyone is claustrophobic,"
Eco Cave Gardens,"I visited here liked very much.There are app.five sections of caves.Every cave has its own charm.Everybody was enjoying and trying to enter in caves,some got failure and some successed in entering caves.Overall fantastic."
Eco Cave Gardens,there are small caves u need to cross all caves caves are based in their difficulty level tiger cave easiest ape cave hardest. try once coz in 60 rs you will be able experience.. try in dry season you will enjoy More as rainy season.. small cafe is there add some pakoda and…
Eco Cave Gardens,a must visit place in nainital.....entry charges is 60 for adult......last 2-3 caves are difficult to pass.....
Eco Cave Gardens,"Eco Cave Gardens is very good option in Nanital for adventure and thrill seeking people. There are many caves, but try to be safe and follow the garden rules. Please wear comfortable cloths, avoid tight fitting cloths as you have to go through many small and big stones. Further,…"
Eco Cave Gardens,The caves are ok. If u miss even there is nothing much except for too much trekking and in and out of the oxygen free caves
Eco Cave Gardens,"Eco cave garden is an adventurous experience in Nainital. These are natural caves with narrow passages, rocks, stairs that test the ability of the visitor to pass through. Though most of them are not very difficult to do, they offer a unique opportunity to get involved with…"
Eco Cave Gardens,"Very nice place, Adventure type rout through caves created , children like this spot very much. Parking is problem."
Eco Cave Gardens,"This is sheer beauty. The caves are really amazing, in true sense nature at its best. No wonder how they managed to get this beautiful place and inside you will feel complete natural AC. You need to be fit to explore around. Some of the caves you cant freely move. Lot of…"
Eco Cave Gardens,The title of this review says it all - my kids really loved it. Fully worth it. It can be a good team activity as it encourages one to follow other.
Eco Cave Gardens,Its kind of different feeling to explore the caves in cave garden. A must to visit. Caves are natural and it well take you to the adventurous side. Children enjoyed a lot.
Eco Cave Gardens,One time visit. Not managed well and croweded so its a one timer only. You can take it as physical activity only.
Eco Cave Gardens,"We enjoyed Eco caves in nainital which are fallen near sukhatal bus stop. There is ticket of Rs. 60 per person. There are three caves i.e. tiger, bear and one other. There is another rides available as bull riding and rope riding, which are enjoyed by small kids very much."
Eco Cave Gardens,"It is for Rs.60 per Adult and Rs.25 for anyone under 10 years old there are 6 caves I think Apple Cave, Bat Cave, FlyingFox Cave, Ape Cave, Tiger Cave and Panther Cave they are very fun to go through though not recommended for people who have problems crouching, crawling,…"
Eco Cave Gardens,"This is a place managed by KMVN (Kumaon Mandal Vikas Nigam Ltd)., and very decently organised. First thing is that even in the height of dry summar heat at midday, the caves are cool due to evaporation of moisture which is coming in through the soil and rock. So it is…"
Eco Cave Gardens,"Enjoyed walking through caves. Nice view from top for good photos. Cost of entry ticket is Little bit of higher side. All the other places were similar offering either mountain view or temple. Hence, this place was unique in this way. Good place to visit."
Eco Cave Gardens,Very nice place with 7 caves whose difficulty levels gi on increasing..fun activity..recommended...ticket is 60 rs I guess..the bathroom is 5 rs a person but not well maintained.. All in all a must go place
Eco Cave Gardens,"This place is near to Nainital and is maintained very well.We need to pay an entrance fee of 60 rs per adults to enter this place.This is a garden where we can see natural caves named tiger cave,panther cave,Flying fox cave,Bat Cave etc.All of them are natural caves to which we…"
Eco Cave Gardens,The caves are natural. To some places they have done artificial stuffs to make it more attractive otherwise its a good place for fun. There are total 6 caves and all are breathtaking and offers great adventure. In few caves heart patients are not allowed to go. Not advisable for…
Eco Cave Gardens,"visited these caves and at first site were frightened to enter but on the insistence of guide went in and experienced tough life it was refreshing and enjoyable experience, we could not visit all caves as we were not advised to enter being old and fat people accompanying us.…"
Goddess Naina Devi,"Review of Goddess Temple is beyond purview of human kind. This temple has everything Mata Rani ki kripa, Exceptional location, neat and clean and very calm. After doing darshan of Mata Rani you can spend some time on the beautiful views of Naini Lake surrounded by Mountains.…"
Goddess Naina Devi,Goddess Naina Devi is a Hindu temple located in Nainital. Its a sacred place and people visit to offer puja and seek blessings from her.
Goddess Naina Devi,"I feel happy because it's attached in Nainital lake in same place. Pray, boating, marketing all together. I feel very nice whenever I visis Nainadevi."
Goddess Naina Devi,A must visit if you are on a trip to Nainital. Neat and clean worship place. Apart from Naini devi temple there is hanumañ temple also in the vicinity of the temple. You can easily go by walk from any hotel you stay. If you go by your own vehicle you will need to pay Rs 120 for…
Goddess Naina Devi,Good peaceful place on the banks of Naini lake cm. Diffferevr vibe and amazing lake views. Relaxing place
Goddess Naina Devi,Must Visit Place while in Nainital. Try visiting at Early Morning between 6-7 and there will be no crowd but just Peaceful environment. There is Huge Parking Space at the Stadium/Playground our side the Temple. There are Also Many Shops for purchasing Prasad. If visiting in…
Goddess Naina Devi,Clean and well kept temple overlooking Naini lake.. Do visit in the evening to experience a lively atmosphere.
Goddess Naina Devi,The temple is situated in the lake banks and is the reason for the name nainital. One can enjoy the lake view from the temple and enjoy Tibetan cuisine in the shops surrounding the temple
Goddess Naina Devi,"Great devotional experience, felt fresh, light, and exceptional. The temple is just next to the Nainital Lake opposite the Mall Road, and hence the town is also called Nainital as told by the locals."
Goddess Naina Devi,The lake draws its name from the Deity's name ....the temple is a well located and the deity herself is interesting as the story goes that Devi Durga's eyes had fallen here . It is an unusual experience in the early morning aarti time when the mist just lifts up and the dawn…
Goddess Naina Devi,"A visit is must to this small and beautiful temple on the banks of Naini Lake. A beautiful view of Nainital at lake level, especially during sunset and when lights come on."
Goddess Naina Devi,"No need to say that visiting this temple gives internal satisfaction. So Calm, Clean and Beautifully build on bank of Naini Lake, one will not want to leave the place. View is so scenic from temple that you can enjoy. Must visit if anybody goes to Nainital"
Goddess Naina Devi,Very old and a very nice temple. Positive vibes automatically attracts once you are near this temple.
Goddess Naina Devi,Beautiful temple. One can experience very positive vibes. One should definitely visit. Located in Mallital.
Goddess Naina Devi,Refreshing and peaceful place and it's not very crowded. Beautiful view of the lake as well. Visit this place for a peaceful experience.
Goddess Naina Devi,"We went with birding in mind. Pangot was cloudy, we could sight a variety of birds including the Cheer and Khalij. Saw the Milky Way when the clouds cleared off. Nainital was less cloudy and thandi sadak had many birds. We went to Sattal studio area, undergrowth was high due to…"
Goddess Naina Devi,"What an awesome temple,superb location,always tidy and well kept,no question of touts and pandits pursuading you to procure prashad from the stipulated shops."
Goddess Naina Devi,"Very old Hindu Temple located at the bank of Naini Lake, Nainital. The temple have nice view of mountains. Evening is the best time to visit. Must see the aarti."
Goddess Naina Devi,"For devotees it is a must visit place of worship. Any and every one who comes here visits the temple. Calm, quite & peaceful. The ringing if the temple bells is so soothing."
Goddess Naina Devi,"Just visit the temple to experience the night view of the lake and city, wish the fancy lights were switched on which I believe is done during the Navratris but must visit place if you're in the city."
Goddess Naina Devi,Old temple with lot of history associated with it. Must visit place in evening specially. The evening aarti is really good.
Goddess Naina Devi,excellent temple which gives you immense inner peace during vacation.very good view of the lake from temple side.
Goddess Naina Devi,"good visit, you need Not to travel extra to reach, it is near mall road, and Tibetan market... when you plan a walk to mall road do visit. please is awesome peaceful.. do enjoy lake view. small temple but good visit. you can imagine the same as like your hometown no diff. but…"
Goddess Naina Devi,The temple is beautiful and serene.You find its location peaceful and its give you inner calm.The temple is very clean and has a beautiful view of the lake
Goddess Naina Devi,I got blessed after visiting this temple. Located in the perfect location and perfect for a short walk from a bus stop
Naina Peak,"You get one of the best views of Naini lake from here, nothing much to do per se.. More of a photo session point :)"
Naina Peak,"It's a good trek to have in Nanital and can be easily be done without a guide. However as a personal experience, there is a main route to trek, and there are some little paths to side experiences. If you're willing to take some risk (which I don't recommend if you're not very…"
Naina Peak,Excellent scenic view of the lake and Nainital Valley surrounded by the hills. Nainital local authority should construct a proper platform at the location.
Naina Peak,We four friends climb this plac from Vill - Pangot Nainital uttrakhand...this awesome place just 7.5km away from camp Mehi Nature Resort Pangot and appx 8300 feet altitude...when you reach on top.you feel like in haven surrounding 180 degree Himalayan view with full over view of…
Naina Peak,"Go up Naina Peak! The trails are easily accessible from the town, they are beautiful, the views are breathtaking, it is calm and quiet. However, I would take something to eat and drink. There is a hut on the peak, but it only provides bare necessities. Bring a picnic yourself…"
Naina Peak,"This is the view point of Nainital Lake, from here you can see the whole lake in Mango shape. You can also see the Panoramic view of the Nainital city. You can reach there by using Taxi, Bike, Private car etc. I suggest you to hire the taxi to reach there. This is the must visit…"
Naina Peak,Naina Peak is the ideal place to get the Panoramic view of the Nainital city & surrounding hills. This place is also ideal for the trekking & adventure lovers in Naintal
Naina Peak,"Wonderful place, fantastic destination for short time trekking amazing experience to see the Nainital city's view from the top.."
Naina Peak,"there are many view point in nainital like naina peak, tiffen top, snow view.. all points more or less same view.. if you are planning to visit please visit one point.. i would suggest not to take any horse ride. it will cost u 810 for 5 or 6 point for no view.. visit snow…"
Naina Peak,"Do go to this place either by ropeway or by car, both works. The view of the entire nainital city and lake is amazing and the weather is also awesome"
Naina Peak,"The Naina peak, aka Cheena/China peak is a excellent destination for birders and nature enthusiasts! A vast range of flora as well as fauna, is found on the way. Situated in the Himalayan Bird Sanctuary, Nainital, it is a birder's paradise!"
Naina Peak,Naintal is very famous among the tourists so it's also very Crowded. You'll less likely to enjoy at attractions if you are a Traveller not tourist. This place has comparatively less people as it requires a little bit of hiking but it's fun and views are among the best.
Naina Peak,Though it is said that point looks like eye shaped and resemble goddess Sati eye. Point is memorizing and breathtaking view
Naina Peak,"Uttarakhand is a beautiful place, lots of good places are there like Nainital, Almora, Kausani, Ranikhet, Chaukori etc in Uttarakhand. But my suggestion don't visit Uttarakhand during the month of May, June and July. Due to haze you couldn't able to see any Himalayan ranges,…"
Naina Peak,We visited Naina peak with our twins aged 11. We were able to hike up the peak in 1 hr 20 mins. The 3 km hike up was really steep in places but kids were able to make it without giving up. Beginning of the hike we did see a small snake but we were told that the snakes there are…
Naina Peak,"Naina Peak is one of the famous & highest points in Nainital. It is also called the China Peak by locals is 2,615 Meters above the sea level. This the favorite destination for trekking & adventure lovers in the Lake City. Naina Peak Offers a panoramic view of Nainital City,…"
Naina Peak,"From thew Naina peak we get a beautiful view of the Lake and Se-rounding Places. We can reach here walking, or can take a horse / donkey safari. they bring us up on a charge."
Naina Peak,"I'm going to do a thorough review of this trek so that it helps anyone else who's thinking of going. We were four of us who went - two of us in our twenties, along with our parents in their late fifties /early sixties. My parents do a lot of fitness training though with mom…"
Naina Peak,"It's a peak which is a serious climb of 1 hr. No access by road, which is good. I took 35 mins to get there, being an athlete of sorts. It is steep climb, mainly a route for kacchars or mules. Mostly covered trail to top, with trees all around. A small forest guest house on top…"
Naina Peak,"Naina Peak is one of the famous & highest point in Nainital. It is also called the China Peak by locals is 2,615 Meters above the sea level. This the favorite destination for trekking & adventure lovers in the Lake City."
Naina Peak,"Naina Peak is highest hill top and one of the the famous tourist spots in Nainital. This peak is also called as China Peak and Cheena Peak by locals in Naintal. Due to high altitude and lush green forest path, Naina Peak is favourite place in Nainital for trekking among…"
Naina Peak,"It has nothing special except the good panoramic views from the top. You will not spend too much time here anyways. If you are visiting Kausani, Ranikhet etc., you will anyway see the Himalaya range, so you can avoid this and save some time."
Naina Peak,Nainital is a lake whuch is shaped like mango and has emerald green water which can be beautifully visualised from this point.
Naina Peak,Excellent view of the entire city of Nainital and the Nainital Lake from this view point. Very beautiful spot to hangout for some time and enjoy the scenery.
Naina Peak,We went to Naina peak through ropeway.Naina peak is unforgetable in respect of natural beauty.This is very romantic place.One can reach to this place through stairs also.
Snow View Point,"There is a rope-way service to reach the top, but instead we chose to hike all the way. There are many routes to climb, and all are well paved. It took almost an hour for us to reach the top. From top, there are two different views, one side is a panoramic view of Nainital…"
Snow View Point,It is a place from where you can view the snow covered peaks of the Himalayan range as well as have an enchanting view of the Naini jheel from the top . It seemed to be a happening place cause there was a constant flow of visitors . We did take a peek but were unlucky because it…
Snow View Point,Snow view point can be reached by cable car which is 300 per adult for both ways or by car or trek. The view point on the top gives good views of nainital and the surrounding mountains. You can enjoy snow here during the months of December and January. There are some shops and…
Snow View Point,We went in a cale car which was a god experience. I had several exciting cable car rides all over the world and stil love this . Better dont go in car(hired) which was not that safe . There are 2 views .Lake view and snow point view .So make sure you enquire the correct path…
Snow View Point,"It's a good place to visit however, if you are in Nainital to view snowfall, then this place can be skipped as you will not get any view of Himalayas because to cloud. It's good to go in morning, on clear days as that's the only time you will have a great view. For snowfall,…"
Snow View Point,"On a clear day, you get to see snow caped Himalayan range from here .. There are a few stalls selling refreshments, horse ride was also there.. The only downside of this place was, there were too many people trying to ""Show"" you the mountains with telescope. So, sometimes it…"
Snow View Point,Snow view point is 15-20 minutes from the Mall road and can be visited to check out snow clad mountains. Pro tip: Visit on a clear sky day to view the mountains.
Snow View Point,"The snow view point is located on the top of a mountain in the heart of the city of Nainital. A cable car service takes you to the top of the mountain. To get to the place where the cable car starts, you need to walk a few hundred feet uphill. The service is really good and the…"
Snow View Point,"If you are lucky and if its a sunny day - you can see the entire Himalayan range from this point. Its similar to Lal Tibba in Mussoorie, but the Himalayan range visible from both points are different."
Snow View Point,"One can reach it by taking a trolley from Mall Road which charges Rs 300 per adult for to and fro .It is famous ,as from this height one can view with naked eyes snow clad kanchanjanga mountain range .But for that the weather has to be clear .We weren't able to view as the day…"
Snow View Point,"This is one of famous view point in Nainital. From here you can see the Himalayas range that are covered with snow. Hire a taxi or bike to reach there. I don't recommend private cars because of sharp uphill and shrink roads. Also, choose the right weather to go there, avoid…"
Snow View Point,"From the trolley, you can reach this place. It was a beautiful place, you can see a lovely sight of Naini lake. You can eat here, play games, get photographs clicked in traditional dresses and shop. We were here for an hour and then reached back from the trolley. Overall, was a…"
Snow View Point,Snow View Point is the best place to enjoy the real beauty of Nainital city & panoramic view of surrounding hills.
Snow View Point,"there are many view point in nainital like naina peak, tiffen top, snow view.. all points more or less same view.. if you are planning to visit please visit one point.. i would suggest not to take any horse ride. it will cost u 810 for 5 or 6 point for no view.. visit snow…"
Snow View Point,This place is best known for the enchanting views of the snow clad Himalayas. The other attraction is the rope way that brings you here. The place has a number of restaurants and gift shops. It also has an amusement park where children children can have a gala time.
Snow View Point,"You can reach this place by road or can take a rope way from the Mall road. Since it was raining and very cloudy, we could not see the snow laden mountains. The locals said the best time to visit is between October and March."
Snow View Point,"Snow view point is the highest point in Nainital after the naini peak. View of himalyas is not very great, its just ok. Nevertheless, on route, you can see the mango shaped naini lake, so other view point is got as bonus."
Snow View Point,The only saving grace was the fun of the ropeway You don't see any snow laden Himalayan range more often than you see. The vie of the lake and the town from top of the hill is quite stunning. You can reach there either by road or by ropeway.
Snow View Point,"Because of multiple fires in nearby forests, visibility is very poor. No view of distant mountains was available. The small platform for view was very crowded. Dorothy's seat offers much better view of Nainital and nearby."
Snow View Point,Location of the point is very good and whole nainital can seen from this point. During the our trip there was no snow.
Snow View Point,"KMVN has a Tourist Rest House here, and operates a cable car service to this point,. Nothing much to see or do there, as the view is obscured by a light smog which obscures the view of the snow peaks. So it is essentially a point, not a snow view point. You get an interesting…"
Snow View Point,I am writing this review at mornings 5:00 o'clock. As this hotel is very pathetic... You have to climbed stippy staircase.Way towards hotel is very narrow. No shops near hotel. Location is also not good. I am advising the guest not to booked this hotel through oyo or any…
Snow View Point,This is a point made to fool the tourists totally avoidable in summer time as their is nothing spectacular about it. Be ready to be fleeced by local cab operators who have formed a union here and force you to hire their cabs even if you have your own vehicle.
Snow View Point,Snow view point is a location on top about 12 km from Nainitaal where tourist gather to have a look of mighty Himalayas mango shaped naini lake and whole of city. It's well motorable road but local operators prefer smaller cars only . You can buy tea maggy and omlette. Can get…
Snow View Point,"Another beautiful view of the lake (one of many beautiful view points of the lake). No trek required, so it's good for those who just want a good view and you can take your vehicle practically to the spot. Nice shops etc at the top too. WCs are there."
Pangot and Kilbury Bird Sanctuary,"Had visited this Bird.sanctuary in March 2018. It's a must visit for any bird lover. Infact Pangot is such a small place, even in the present day that it's does not even have a barber shop in the village. Having said that it has atleast 20 hotels where you can choose to stay.…"
Pangot and Kilbury Bird Sanctuary,"Pangot is a quaint village tucked in a valley. There are some lovely places to stay like Jungle Lore Birding Lodge where the cottage, great food and welcoming warmth of the staff will ensure a comfortable stay. However a few things to be kept in mind while visiting Pangot in the…"
Pangot and Kilbury Bird Sanctuary,Pangot and Kilbury Bird Sanctuary is the paradise for adventure & bird lovers near Nainital. This place is so cool & calm offers a panoramic view of wide Range of Himalaya.
Pangot and Kilbury Bird Sanctuary,Little did we know there lies such a peaceful haven so close to a bustling holiday destination. Needs preservation efforts.
Pangot and Kilbury Bird Sanctuary,"the drive is beautiful and the wildlife is in abundance , best months to visit are march , april and october"
Pangot and Kilbury Bird Sanctuary,This is the best place to rejuvenate yourself. It has awsome view and the breeze was so cool here. Very refreshing.
Pangot and Kilbury Bird Sanctuary,"discover your friendship with nature here ! small trek, thick jungle, many many birds , awesome views and nice cool breeze. top that with a jungle lodge canteen maggie and hot tea!! perfect place to spend 3 hours."
Pangot and Kilbury Bird Sanctuary,Pangot and Kilbury Bird Sanctuary is the habitat of more the 500+ Birds and heaven for Bird watchers & photographers.
Pangot and Kilbury Bird Sanctuary,"If you plan not to get to a destination but enjoy a ride then this is what you should not miss. Best is to hire a two wheeler and just slow ride along the swerving road. Enjoy the forest, catch a glimpse of Himalayan birds or rest for a while. A real refreshing time worth a…"
Pangot and Kilbury Bird Sanctuary,Located away from the city this beautiful place for Bird watching is must visit place for Birders. Go early in the morning to see birds. This is famous wildlife sanctuary near Nainital. Enjoy great views and enjoy photography.
Pangot and Kilbury Bird Sanctuary,This is a famous wildlife sanctuary surrounding Nainital... The place is peaceful and offers some great views of the wildlife...
Pangot and Kilbury Bird Sanctuary,"It is a nice place. If you are into birding, you need to reach here early. This place gets crowded very soon as the day moves in. Once the day moves in, it is advisable for the birders to leave."
Pangot and Kilbury Bird Sanctuary,"We stayed in Nainital for 2 nights as the last stop of our 12 day long vacation in the Kumaon hills and on the 2nd day morning at Nainital we wanted to visit the Nainital Zoo. However, that being the weekly holiday, we chose to have a short day trip to Pangot and adjoining…"
Pangot and Kilbury Bird Sanctuary,"The roads leading to this place will leave you speechless! Such beauty, such greenery, such serenity and such tranquility leaves you wonderstruck! Pangot is located some 15 km from Nainital and about 9 km from Himalayan View Point. The road is narrow and dangerous, but lovely…"
Pangot and Kilbury Bird Sanctuary,Watch beautiful birds all along the road. Enjoy the journey having stop overs and photo sessions and spur your creativity.
Pangot and Kilbury Bird Sanctuary,We loved everything about Pangot. It is a special place and well-worth the journey up there. There are so many birds even though we went at a less-good time of the year for sightings.
Pangot and Kilbury Bird Sanctuary,This road also called as the coolest road as the sun rays reaches here in the early morning and than after only cool airs and light which makes this road more populer among the travellers. Tourist love to see and feel cool wave in the sunny summers.
Pangot and Kilbury Bird Sanctuary,the places are well marked in all itenaries and travel maps but on ground its not even marked or guided properly. we drove on the entire stretch twice without finding the place or routes.
Pangot and Kilbury Bird Sanctuary,Its very close to Nainital with scenic roads to explore vast varieties of birds. Thought roads are narrow but you hardly find any traffic.. Its a must visit in your list.
Pangot and Kilbury Bird Sanctuary,I liked pangot because of its extreme greeny. I personally love to have long drives in mountain & spend time in green areas so this was place was perfect for me. This is a small green town in hills famous for bird watching activites and treking. A random tourist may not find…
Pangot and Kilbury Bird Sanctuary,"It's about 10-15 km from Nainital. The drive itself is enthralling as the road is narrow and devoid of any commercial/residential establishment. All forest area throughout with breathtaking views of valley, rocks, forests & birds. It was raining at the time we visited this area,…"
Pangot and Kilbury Bird Sanctuary,Even after spending three hours we could not spot much. Visit this place only if you are on a long trip
Pangot and Kilbury Bird Sanctuary,"famous for Bird, Nature, Flora, Photshoots, no entrance fees and this place is for full day visit it is advisable to visit in early hours of the day for sight seeings and bird watching. Light sweater is advisable in summer also. not suitable to visit in Monsoon area, so summer…"
Pangot and Kilbury Bird Sanctuary,"Pangot and Killbury Bird Sanctuary, despite being located only 15 kms from Nainital is a beautiful place with its pristine beauty still untouched. Its a very quiet place since very few tourists come here. The journey to the bird sanctuary itself will fill the mind of every…"
Pangot and Kilbury Bird Sanctuary,this area need to be explored in details if u love nature ... the area has many waterfalls and dense forest ... numerous bird species.. animals including tiger so be carefull .. gud place for camping .. no roadsso ready to walk
Nainital Ropeway,The ropeway is a great way to get a lovely aerial view of Nainital Lake. However the operators must try to keep the windows clean to enable taking of good photos as the side windows are sealed and only the ends have half opening shutters. On reaching the top you can get to a…
Nainital Ropeway,Ropeway functions in the day time and takes you to the top of the mountain. There are couple of fair games in the area.
Nainital Ropeway,Nainital Ropeway is a very beautiful way to explore this hilly town. It is very beautiful indeed. One must explore this opportunity.
Nainital Ropeway,The ropeway takes you to the top where you can see the entire nainital lake. Awesome view of naintal from the top. Lot of things to do on the top. Highly recommended
Nainital Ropeway,"From Naini temple at walkable distance Ropeway booking,entering point available, in 10 members Udan katola u can enjoy watching lake & sarrounding mountains ,after reaching top u have to walk still to reach top point,here by telescope u can watch 300 kms distance Snow covered…"
Nainital Ropeway,"In the 1st week of November i visited nainital, i stay at Joelikot which is the mid point between Kathgodam to Nainital, i suggest this is also a option for tourists to stay away from conjunction of mall road in the lush green area"
Nainital Ropeway,The rope way ride at Nainital gives an enchanting bird's eye view of the famous lake of Nainital. But the cost of the ride is a bit more than expected.
Nainital Ropeway,excellent ropeway which provide very good scenic view of nainital's lake and its surrounding mountains.just an awesome breathtaking ride
Nainital Ropeway,"The view from the top is very relaxing, however not much to do there. The place itself is very average as tourist once they reach the top have not many options to choose from. Just some random shops selling knick- nacks and other games which even below average."
Nainital Ropeway,"if its season, you have to wait for a long hours in que, if its offseason then usually and conveniently its not operational as they are having MAINTENANCE..... The best method is to take a taxi which is available just there and takes you to 7 places in place of one point and you…"
Nainital Ropeway,"Though the ticket price for to and fro on the ropway is bit high at 300 per adult for just 4 min. Ride on the cable car, it offers spectacular views of town, especially naini lake. On reaching the top, there is an amusement park with few activities for kids, and some good views…"
Nainital Ropeway,i love this place to get adventurous and to spend my vacation over there. this is bit expensive but u will like it
Nainital Ropeway,The experience of being in the cable car is really amazing. Best to visit early morning to avoid the rush.
Nainital Ropeway,"We reached the ropeway station early morning so immediately got the tickets. In case we would have reached half hour late we may not have got early tickets. However on reaching top, it was disappointing. View from top were bad, Many restaurant have come up and view from the top…"
Nainital Ropeway,The lake is widespread all across Nainital. This is located at the centre of the town. You can enjoy the boat ride and can even take the pictures. It is very affordable and can enjoy the view. One can enjoy the fish.
